,fantasy_pts,fg_made,fg_missed,opponent,pass_att,pass_tds,pass_yds,player_id,player_name,player_team,position,rec_recs,rec_tds,rec_yds,result,rush_att,rush_tds,rush_yds,turnovers,twoptm,week,xp_made,year
9079,18.0,0,0,SD,21,2,253,00-0024218,V.Young,TEN,,0,0,0,False,2,0,3,0,0,8,0,2010
9080,0.0,0,0,SD,0,0,0,00-0025825,B.Kern,TEN,P,0,0,0,False,0,0,0,0,0,8,0,2010
9081,4.0,0,0,TEN,0,0,0,00-0022766,P.Crayton,SD,,4,0,46,True,0,0,0,0,0,8,0,2010
9082,4.0,0,0,TEN,0,0,0,00-0027581,S.Ajirotutu,SD,WR,3,0,48,True,0,0,0,0,0,8,0,2010
9083,0.0,0,0,SD,0,0,0,00-0027006,K.Britt,TEN,WR,0,0,0,False,0,0,0,0,0,8,0,2010
9084,3.0,0,0,SD,0,0,0,00-0027061,J.Cook,TEN,TE,1,0,36,False,0,0,0,0,0,8,0,2010
9085,4.0,0,0,SD,0,0,0,00-0027893,D.Williams,TEN,WR,2,0,43,False,0,0,0,0,0,8,0,2010
9086,0.0,0,0,SD,0,0,0,00-0022755,J.Scott,TEN,,0,0,0,False,0,0,0,0,0,8,0,2010
9087,0.0,0,0,TEN,0,0,0,00-0027082,V.Martin,SD,,0,0,0,True,0,0,0,0,0,8,0,2010
9088,0.0,0,0,TEN,0,0,0,00-0021236,R.McMichael,SD,,0,0,0,True,0,0,0,0,0,8,0,2010
9089,0.0,0,0,TEN,0,0,0,00-0024401,J.Clary,SD,G,0,0,0,True,0,0,0,0,0,8,0,2010
9090,8.0,0,0,SD,0,0,0,00-0026225,C.Stevens,TEN,TE,2,1,29,False,0,0,0,0,0,8,0,2010
9091,0.0,0,0,SD,0,0,0,00-0023612,B.Scaife,TEN,,0,0,0,False,0,0,0,0,0,8,0,2010
9092,0.0,0,0,TEN,0,0,0,00-0024673,D.Herron,SD,,0,0,0,True,0,0,0,0,0,8,0,2010
9093,0.0,0,0,TEN,0,0,0,00-0026056,G.Banks,SD,,1,0,2,True,0,0,0,0,0,8,0,2010
9094,0.0,0,0,TEN,0,0,0,00-0027598,B.Lang,SD,,0,0,0,True,0,0,0,0,0,8,0,2010
9095,0.0,0,0,SD,0,0,0,00-0023548,D.Stewart,TEN,T,0,0,0,False,0,0,0,0,0,8,0,2010
9096,2.0,0,0,SD,15,0,52,00-0003292,K.Collins,TEN,,0,0,0,False,0,0,0,0,0,8,0,2010
9097,16.0,0,0,MIN,0,0,0,00-0027057,B.Tate,NE,WR,3,1,101,True,0,0,0,0,0,8,0,2010
9098,0.0,0,0,NE,0,0,0,00-0010072,R.Longwell,MIN,,0,0,0,False,0,0,0,0,0,8,0,2010
9099,24.0,0,0,MIN,0,0,0,00-0025860,B.Green-Ellis,NE,RB,1,0,11,True,17,2,112,0,0,8,0,2010
9100,12.0,0,0,MIN,27,1,240,00-0019596,T.Brady,NE,QB,0,0,0,True,4,0,-3,0,0,8,0,2010
9101,2.0,0,0,MIN,0,0,0,00-0022427,W.Welker,NE,WR,3,0,24,True,0,0,0,0,0,8,0,2010
9102,0.0,0,0,MIN,0,0,0,00-0020285,A.Crumpler,NE,,0,0,0,True,0,0,0,0,0,8,0,2010
9103,0.0,0,0,MIN,0,0,0,00-0027749,Z.Mesko,NE,,0,0,0,True,0,0,0,0,0,8,0,2010
9104,20.0,0,0,NE,0,0,0,00-0025394,A.Peterson,MIN,RB,5,0,50,False,25,1,92,0,0,8,0,2010
9105,6.0,0,0,NE,0,0,0,00-0023774,N.Tahi,MIN,,2,1,9,False,0,0,0,0,0,8,0,2010
